s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-10-30-3746	pfama1.002	70	0.7000001706998296	70041(89.5%)	2	1	0.173788	12187	2
2017-10-30-3747	pfama1.001	72	1.0	51636(90.7%)	1	0	1.0	51636	2
2017-10-30-3761	pfama1.006	38	1.0	193315(98.7%)	1	0	1.0	193315	2
2017-10-30-3762	pfama1.007	37	1.0	15123(81.7%)	1	0	1.0	14228	1
2017-10-30-3766	pfama1.003	52	1.0	39266(94.7%)	1	0	1.0	39266	2
2017-10-30-3773	pfama1.003	52	0.5978259256143962	146600(81.7%)	2	0	0.723303	106351	2
2017-10-30-3773	pfama1.007	37	0.40217407438560376	146600(81.7%)	2	1	0.27669699999999997	40249	2
2017-10-30-3777	pfama1.006	38	1.0	39214(85%)	1	0	1.0	39214	2
2017-10-31-3785	pfama1.033	7	1.0	79561(89.7%)	1	0	1.0	79561	2
2017-10-31-3786	pfama1.003	52	0.25345601698712883	29499(98.3%)	4	0	0.7008177272969114	20173	2
2017-10-31-3786	pfama1.001	72	0.3317975588606478	29499(98.3%)	4	1	0.17393940307250266	4991	2
2017-10-31-3786	pfama1.007	37	0.17050688948376003	29499(98.3%)	4	2	0.080576283130247	2317	2
2017-10-31-3786	pfama1.004	53	0.2442395346684633	29499(98.3%)	4	3	0.044666586500338966	1295	2
2017-10-31-3787	pfama1.003	52	1.0	75820(89.4%)	1	0	1.0	75820	2
2017-10-31-3805	pfama1.001	72	1.0	37907(96.7%)	1	0	1.0	37907	2
2017-10-31-3816	pfama1.000	89	1.0	13100(98%)	1	0	1.0	13100	2
2017-10-31-3818	pfama1.009	35	1.0	45025(98.6%)	1	0	1.0	45025	2
2017-11-01-3079	pfama1.013	29	1.0	59388(96.3%)	1	0	1.0	59388	2
2017-11-01-3093	pfama1.035	6	1.0	61649(86.5%)	1	0	1.0	61649	3
2017-11-01-3096	pfama1.010	34	0.27419374081684533	9069(98.8%)	5	0	0.5082147967140813	4609	1
2017-11-01-3096	pfama1.030	9	0.0725805341441277	9069(98.8%)	5	1	0.4136068345572661	3751	1
2017-11-01-3096	pfama1.015	22	0.17741923642040291	9069(98.8%)	5	2	0.030984687606124953	281	1
2017-11-01-3096	pfama1.012	30	0.24193557268469784	9069(98.8%)	5	3	0.029220388311844675	265	1
2017-11-01-3096	pfama1.014	29	0.23387091593392628	9069(98.8%)	5	4	0.017973292810682877	163	1
2017-11-01-3313	pfama1.003	52	1.0	10334(93.8%)	1	0	1.0	10334	2
2017-11-01-3364	pfama1.017	20	1.0	73308(93.6%)	1	0	1.0	73308	2
2017-11-01-3505	pfama1.032	7	1.0	5757(87.4%)	1	0	1.0	5757	4
2017-11-01-3510	pfama1.024	12	1.0	33953(88.7%)	1	0	1.0	33953	2
2017-11-01-3773	pfama1.007	37	0.40217407438560376	128842(80.3%)	2	0	0.504687	65042	2
2017-11-01-3773	pfama1.003	52	0.5978259256143962	128842(80.3%)	2	1	0.495313	63800	2
2017-11-06-3001	pfama1.003	52	1.0	18724(84.8%)	1	0	1.0	18724	2
2017-11-06-3055	pfama1.003	52	1.0	29(85.3%)	1	0	1.0	29	1
