s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-04-09-3122	pfama1.001	72	0.126538	67461(88.9%)	2	0	0.965678	65082	2
2018-04-09-3122	pfama1.005	49	0.086116	67461(88.9%)	2	1	0.0343218	2379	2
2018-04-09-3148	pfama1.001	72	0.126538	97525(87.9%)	1	0	1	97525	2
2018-04-09-3190	pfama1.001	72	0.126538	65261(90.9%)	1	0	1	65261	2
2018-04-09-3205	pfama1.027	11	0.0193322	66446(75.7%)	2	0	0.909107	59928	2
2018-04-09-3205	pfama1.000	90	0.158172	66446(75.7%)	2	1	0.0908934	6518	2
2018-04-09-3659	pfama1.013	29	0.0509666	70960(87%)	2	0	0.732838	51042	2
2018-04-09-3659	pfama1.023	13	0.0228471	70960(87%)	2	1	0.267162	19918	2
2018-04-10-3673	pfama1.005	49	0.086116	89972(86.7%)	2	0	0.990522	89102	2
2018-04-10-3673	pfama1.143	1	0.00175747	89972(86.7%)	2	1	0.00947827	870	2
2018-04-10-3685	pfama1.031	9	0.0158172	68771(65.9%)	3	0	0.984974	67724	2
2018-04-10-3685	pfama1.168	1	0.00175747	68771(65.9%)	3	1	0.00782866	577	2
2018-04-10-3685	pfama1.189	1	0.00175747	68771(65.9%)	3	2	0.00719714	470	2
2018-04-11-3708	pfama1.005	49	0.086116	84553(85.7%)	1	0	1	84553	2
2018-04-11-3713	pfama1.018	16	0.0281195	89188(87.1%)	1	0	1	89188	2
2018-04-11-3714	pfama1.008	36	0.0632689	38768(87.4%)	4	0	0.975598	37822	1
2018-04-11-3714	pfama1.129	1	0.00175747	38768(87.4%)	4	1	0.0113496	440	1
2018-04-11-3714	pfama1.184	1	0.00175747	38768(87.4%)	4	2	0.00729983	283	1
2018-04-11-3714	pfama1.241	1	0.00175747	38768(87.4%)	4	3	0.00575217	223	1
2018-04-16-3761	pfama1.006	38	0.0667838	87796(85.6%)	1	0	1	87796	2
2018-04-16-3766	pfama1.000	90	0.158172	64550(62.7%)	1	0	1	64550	2
2018-04-16-3777	pfama1.009	35	0.0615114	61882(86%)	2	0	0.926453	57304	2
2018-04-16-3777	pfama1.013	29	0.0509666	61882(86%)	2	1	0.0735469	4578	2
2018-04-17-3805	pfama1.001	72	0.126538	55591(91.7%)	8	0	0.92756	51564	1
2018-04-17-3805	pfama1.104	1	0.00175747	55591(91.7%)	8	1	0.0180965	1006	1
2018-04-17-3805	pfama1.051	2	0.00351494	55591(91.7%)	8	2	0.0134914	750	1
2018-04-17-3805	pfama1.140	1	0.00175747	55591(91.7%)	8	3	0.00973179	541	1
2018-04-17-3805	pfama1.142	1	0.00175747	55591(91.7%)	8	4	0.00958788	533	1
2018-04-17-3805	pfama1.164	1	0.00175747	55591(91.7%)	8	5	0.00800489	445	1
2018-04-17-3805	pfama1.174	1	0.00175747	55591(91.7%)	8	6	0.00760915	423	1
2018-04-17-3805	pfama1.231	1	0.00175747	55591(91.7%)	8	7	0.00591822	329	1
2018-04-18-3364	pfama1.017	20	0.0351494	77856(91.8%)	1	0	1	77856	2
2018-04-18-3505	pfama1.032	7	0.0123023	87259(86.6%)	1	0	1	87259	2
2018-04-18-3510	pfama1.024	12	0.0210896	67353(89.6%)	1	0	1	67353	2
2018-04-18-3787	pfama1.003	55	0.0966608	75821(84.6%)	1	0	1	75821	2
2018-04-23-3164	pfama1.000	90	0.158172	22105(96.8%)	1	0	1	22105	2
2018-04-24-3523	pfama1.004	53	0.0931459	85672(84.1%)	1	0	1	85672	2
2018-04-24-3527	pfama1.002	70	0.123023	76187(86.3%)	1	0	1	76187	2
2018-04-25-3249	pfama1.000	90	0.158172	49280(88.1%)	2	0	0.9875	48664	1
2018-04-25-3249	pfama1.048	2	0.00351494	49280(88.1%)	2	1	0.0125	616	1
2018-04-30-3541	pfama1.008	36	0.0632689	42612(86.3%)	2	0	0.994227	42366	1
2018-04-30-3541	pfama1.239	1	0.00175747	42612(86.3%)	2	1	0.00577302	246	1
2018-04-30-3546	pfama1.009	35	0.0615114	63973(85.2%)	2	0	0.991032	63400	2
2018-04-30-3546	pfama1.153	1	0.00175747	63973(85.2%)	2	1	0.00896821	573	2
2018-05-01-3577	pfama1.000	90	0.158172	42095(88.3%)	3	0	0.93251	39254	1
2018-05-01-3577	pfama1.075	1	0.00175747	42095(88.3%)	3	1	0.0582254	2451	1
2018-05-01-3577	pfama1.146	1	0.00175747	42095(88.3%)	3	2	0.00926476	390	1
