unfiltered	filtered	sample
42512	41819	2017-11-01-3364-PR2-009-A
41334	40781	2017-11-01-3364-PR2-009-B
33	33	2017-11-01-3505-PR2-008-A
47	32	2017-11-01-3505-PR2-008-B
12914	6360	2017-11-01-3505-PR2-010-a
2014	694	2017-11-01-3505-PR2-010-b
24953	24592	2017-11-01-3510-PR2-008-A
16246	16026	2017-11-01-3510-PR2-008-B
85184	84222	2017-11-01-3773-PR2-0061-A
84324	83376	2017-11-01-3773-PR2-0061-B
88	0	2017-11-06-3001-PR2-009-A
2535	2488	2017-11-06-3001-PR2-009-B
22421	21687	2017-11-06-3001-PR2-011-a
3578	2	2017-11-06-3001-PR2-011-b
11845	4	2017-11-06-3055-PR2-010-a
3300	40	2017-11-06-3055-PR2-010-b
12169	2072	2017-11-06-3162-PR2-010-a
17816	17074	2017-11-06-3162-PR2-010-b
52	14	2017-11-06-3163-PR2-0061-A
83581	82500	2017-11-06-3163-PR2-0061-B
23146	22756	2017-11-06-3164-PR2-0061-A
66018	65047	2017-11-06-3164-PR2-0061-B
11023	5	2017-11-06-3514-PR2-010-a
14717	3	2017-11-06-3514-PR2-010-b
11	0	2017-11-07-3047-PR2-009-B
1243	1	2017-11-07-3047-PR2-011-a
16101	7	2017-11-07-3047-PR2-011-b
26551	25716	2017-11-07-3284-PR2-008-A
13096	12887	2017-11-07-3284-PR2-008-B
30	30	2017-11-07-3285-PR2-0062-B
26076	25611	2017-11-07-3523-PR2-008-A
7625	7511	2017-11-07-3523-PR2-008-B
267	260	2017-11-07-3527-PR2-008-A
191	185	2017-11-07-3527-PR2-008-B
1747	232	2017-11-07-3527-PR2-010-a
1626	167	2017-11-07-3527-PR2-010-b
13834	13603	2017-11-08-3336-PR2-008-A
3054	3011	2017-11-08-3336-PR2-008-B
9928	1642	2017-11-08-3336-PR2-010-a
12459	2493	2017-11-08-3336-PR2-010-b
96	15	2017-11-08-3529-PR2-008-A
25	14	2017-11-08-3529-PR2-008-B
1434	335	2017-11-08-3529-PR2-010-a
1760	102	2017-11-08-3529-PR2-010-b
23511	23191	2017-11-13-3540-PR2-0071-A
5	3	2017-11-13-3540-PR2-0071-B
39925	39216	2017-11-13-3541-PR2-009-A
36919	36334	2017-11-13-3541-PR2-009-B
92	46	2017-11-13-3542-PR2-0062-A
101	70	2017-11-13-3542-PR2-0062-B
11	1	2017-11-13-3546-PR2-0071-A
10	0	2017-11-13-3546-PR2-0071-B
22480	22050	2017-11-13-3547-PR2-008-A
13237	13032	2017-11-13-3547-PR2-008-B
69340	68466	2017-11-13-3557-PR2-0061-A
58041	57281	2017-11-13-3557-PR2-0061-B
2375	2296	2017-11-13-3602-PR2-0062-A
3284	3199	2017-11-13-3602-PR2-0062-B
79	42	2017-11-13-3604-PR2-0061-A
8763	8577	2017-11-13-3604-PR2-0061-B
5835	5710	2017-11-13-3719-PR2-0061-A
41959	41269	2017-11-13-3719-PR2-0061-B
10783	6	2017-11-14-3575-PR2-010-a
12925	5	2017-11-14-3575-PR2-010-b
11	0	2017-11-14-3577-PR2-009-A
16	1	2017-11-14-3577-PR2-009-B
594	0	2017-11-14-3577-PR2-011-a
2564	1	2017-11-14-3577-PR2-011-b
2621	2578	2017-11-14-3578-PR2-0062-A
2005	1971	2017-11-14-3578-PR2-0062-B
5855	5749	2017-11-14-3579-PR2-0062-A
4480	4415	2017-11-14-3579-PR2-0062-B
41525	40864	2017-11-14-3580-PR2-009-A
39002	38369	2017-11-14-3580-PR2-009-B
59619	58669	2017-11-14-3595-PR2-009-A
1	0	2017-11-14-3595-PR2-009-B
9128	1	2017-11-14-3595-PR2-011-a
8450	110	2017-11-14-3595-PR2-011-b
30616	30120	2017-11-14-3612-PR2-008-A
24738	24323	2017-11-14-3612-PR2-008-B
813	777	2017-11-14-3614-PR2-0061-A
698	662	2017-11-14-3614-PR2-0061-B
857	830	2017-11-14-3615-PR2-0061-A
1009	962	2017-11-14-3615-PR2-0061-B
9716	9555	2017-11-14-3616-PR2-0061-A
12577	12373	2017-11-14-3616-PR2-0061-B
1643	1623	2017-11-14-3617-PR2-0062-A
3430	3391	2017-11-14-3617-PR2-0062-B
25001	24608	2017-11-15-3627-PR2-008-A
32654	32160	2017-11-15-3627-PR2-008-B
4224	4158	2017-11-15-3630-PR2-0061-A
12717	12415	2017-11-15-3630-PR2-0061-B
7137	35	2017-11-15-3637-PR2-010-a
31535	105	2017-11-15-3637-PR2-010-b
11379	11213	2017-11-15-3642-PR2-0072-A
