s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-11-01-3773	pfama1.003	40	0.5555552546294917	128842(80.3%)	2	1	0.495313	63800	2
2017-11-06-3001	pfama1.003	40	1.0	18724(84.8%)	1	0	1.0	18724	2
2017-11-06-3055	pfama1.003	40	1.0	29(85.3%)	1	0	1.0	29	1
2017-11-06-3162	pfama1.041	2	1.0	15071(86.2%)	1	0	1.0	15071	2
2017-11-06-3163	pfama1.001	53	1.0	77350(98.3%)	1	0	1.0	77350	2
2017-11-06-3164	pfama1.013	22	1.0	83274(99.4%)	1	0	1.0	78996	2
2017-11-07-3284	pfama1.006	34	1.0	35375(97%)	1	0	1.0	32305	2
2017-11-07-3285	pfama1.011	24	0.4137932193816485	29(96.7%)	2	0	0.62069	18	1
2017-11-07-3285	pfama1.006	34	0.5862067806183515	29(96.7%)	2	1	0.37931	11	1
2017-11-07-3523	pfama1.004	38	1.0	30387(97.3%)	1	0	1.0	30387	2
2017-11-07-3527	pfama1.001	53	1.0	657(83.7%)	1	0	1.0	657	4
2017-11-08-3336	pfama1.005	34	1.0	18775(96%)	1	0	1.0	18775	4
2017-11-08-3529	pfama1.016	16	1.0	355(81.6%)	1	0	1.0	355	4
2017-11-13-3541	pfama1.011	24	1.0	66959(93.8%)	1	0	1.0	66959	2
2017-11-13-3547	pfama1.007	33	1.0	31579(95%)	1	0	1.0	31579	2
2017-11-13-3602	pfama1.017	15	0.11111114320991794	5055(96.2%)	4	0	0.6472399649051234	1590	2
2017-11-13-3602	pfama1.007	33	0.24444480395108067	5055(96.2%)	4	1	0.2659088172190996	680	2
2017-11-13-3602	pfama1.001	53	0.39259183934059294	5055(96.2%)	4	2	0.04553814192125607	112	2
2017-11-13-3602	pfama1.005	34	0.25185221349840853	5055(96.2%)	4	3	0.04131307595452084	103	2
2017-11-13-3604	pfama1.013	22	0.22222244107748754	4366(52.8%)	3	0	0.512869	1864	2
2017-11-13-3604	pfama1.010	27	0.2727274517906716	4366(52.8%)	3	1	0.34066700000000005	1806	2
2017-11-13-3604	pfama1.002	50	0.505050107131841	4366(52.8%)	3	2	0.14646400000000004	696	2
2017-11-13-3719	pfama1.016	16	0.3199997503999451	44534(99.2%)	2	0	0.957327712801686	42394	2
2017-11-13-3719	pfama1.005	34	0.6800002496000549	44534(99.2%)	2	1	0.042672287198313834	2140	2
2017-11-14-3578	pfama1.009	28	0.2616822259586068	4084(95%)	4	0	0.7070882456148015	792	2
2017-11-14-3578	pfama1.013	22	0.20560754135729417	4084(95%)	4	1	0.18062271494279986	205	2
2017-11-14-3578	pfama1.011	24	0.22429910289106506	4084(95%)	4	2	0.07118458238873383	80	2
2017-11-14-3578	pfama1.007	33	0.30841112979303403	4084(95%)	4	3	0.04110445705366491	48	2
2017-11-14-3580	pfama1.007	33	1.0	68325(90.9%)	1	0	1.0	68325	2
2017-11-14-3612	pfama1.009	28	1.0	35002(68.3%)	1	0	1.0	18924	2
2017-11-14-3614	pfama1.001	53	1.0	1273(93.4%)	1	0	1.0	1273	2
2017-11-14-3615	pfama1.005	34	1.0	1621(94.9%)	1	0	1.0	1621	2
2017-11-14-3616	pfama1.001	53	1.0	20759(99.2%)	1	0	1.0	20759	2
2017-11-14-3617	pfama1.007	33	1.0	4649(97.1%)	1	0	1.0	4649	2
2017-11-15-3627	pfama1.006	34	1.0	49822(93%)	1	0	1.0	49822	2
2017-11-15-3630	pfama1.008	32	1.0	15786(99.1%)	1	0	1.0	15786	2
2017-11-15-3642	pfama1.001	53	1.0	20003(95.1%)	1	0	1.0	20003	2
2017-11-17-3779	pfama1.009	28	1.0	201966(99%)	1	0	1.0	201966	2
2017-11-20-3190	pfama1.002	50	1.0	43552(97.5%)	1	0	1.0	43552	2
2017-11-20-3659	pfama1.018	15	1.0	8379(98.7%)	1	0	1.0	8379	2
2017-11-20-3661	pfama1.007	33	1.0	377873(78.2%)	1	0	1.0	377873	3
2017-11-20-3665	pfama1.001	53	1.0	122188(98.4%)	1	0	1.0	122188	2
2017-11-21-3672	pfama1.003	40	1.0	39262(96.6%)	1	0	1.0	1658	2
2017-11-21-3673	pfama1.005	34	1.0	48343(94.2%)	1	0	1.0	48343	2
2017-11-21-3677	pfama1.010	27	1.0	163(90.6%)	1	0	1.0	54	2
2017-11-21-3685	pfama1.029	7	1.0	26131(88.6%)	1	0	1.0	5158	2
2017-11-22-3708	pfama1.005	34	1.0	152795(98.7%)	1	0	1.0	152795	2
2017-11-22-3709	pfama1.015	20	1.0	70296(95.7%)	1	0	1.0	70296	2
2017-11-22-3714	pfama1.011	24	0.38709691623305387	10434(97.2%)	2	0	0.8354950000000001	8957	2
2017-11-22-3714	pfama1.004	38	0.6129030837669461	10434(97.2%)	2	1	0.16450499999999998	1477	2
2017-11-22-3719	pfama1.016	16	1.0	21284(93.2%)	1	0	1.0	21284	2
2017-11-22-3720	pfama1.002	50	0.7575757575757576	41802(91.7%)	2	0	0.663215	28706	2
2017-11-22-3720	pfama1.016	16	0.24242424242424243	41802(91.7%)	2	1	0.336785	13096	2
2017-11-22-3728	pfama1.004	38	1.0	48475(92.9%)	1	0	1.0	48475	2
2017-11-27-3746	pfama1.001	53	0.654320173295155	28580(95.2%)	2	0	0.711447	20407	2
2017-11-27-3746	pfama1.009	28	0.34567982670484504	28580(95.2%)	2	1	0.288553	8173	2
2017-11-27-3747	pfama1.002	50	1.0	8600(97.7%)	1	0	1.0	8600	2
2017-11-27-3758	pfama1.017	15	1.0	77539(86.5%)	1	0	1.0	77539	3
2017-11-27-3761	pfama1.007	33	1.0	7545(98.5%)	1	0	1.0	7545	2
2017-11-27-3766	pfama1.003	40	1.0	46873(87.6%)	1	0	1.0	22019	2
2017-11-27-3773	pfama1.015	20	1.0	42730(91.7%)	1	0	1.0	42730	2
2017-11-27-3777	pfama1.007	33	1.0	36167(79%)	1	0	1.0	16785	2
2017-11-27-3779	pfama1.009	28	1.0	80097(80.9%)	1	0	1.0	80097	3
2017-11-28-3783	pfama1.003	40	1.0	32887(89.4%)	1	0	1.0	32887	2
2017-11-28-3786	pfama1.005	34	0.33333346078434367	20820(87.9%)	3	0	0.5341043204625923	11297	2
2017-11-28-3786	pfama1.009	28	0.2745099763552885	20820(87.9%)	3	1	0.42688025612815367	8758	2
2017-11-28-3786	pfama1.003	40	0.39215656286036776	20820(87.9%)	3	2	0.03901542340925404	765	2
2017-11-28-3787	pfama1.003	40	1.0	99119(94.4%)	1	0	1.0	99119	2
2017-11-28-3805	pfama1.002	50	1.0	1411(97.6%)	1	0	1.0	1411	2
2017-11-28-3818	pfama1.010	27	1.0	50822(96.9%)	1	0	1.0	50822	2
