total	mapped	paired	sample
202	202	202	2018-08-14-3285-PR2-012-B
502	501	500	2018-08-14-3441-PR2-012-A
2	2	2	2018-08-14-3441-PR2-012-B
66606	65959	65406	2018-08-20-3570-PR2-012-A
69852	69184	68656	2018-08-20-3570-PR2-012-B
91960	91311	90770	2018-08-22-3629-PR2-012-A
38416	38151	37922	2018-08-22-3629-PR2-012-B
14	14	14	2018-08-23-3081-PR2-012-A
28	2	2	2018-09-01-3577-PR2-009-A
854	631	622	2018-09-01-3577-PR2-009-B
10	0	0	2018-12-02-3154-PR2-009-A
80208	79467	78930	2018-12-02-3154-PR2-009-B
116	0	0	2018-12-03-3205-PR2-009-A
14	0	0	2018-12-03-3205-PR2-009-B
18908	18772	18666	ctrl-38x-7C1-10K-PR2-012-A
36728	36452	36206	ctrl-38x-7C1-10K-PR2-012-B
3658	3627	3606	ctrl-38x-7C1-1K-PR2-012-A
15928	15777	15648	ctrl-38x-7C1-1K-PR2-012-B
27748	27522	27354	ctrl-38x-7C3-10k-PR2-012-A
19488	19352	19234	ctrl-38x-7C3-10k-PR2-012-B
3344	3321	3306	ctrl-38x-7C3-1k-PR2-012-A
1604	1586	1572	ctrl-38x-7C3-1k-PR2-012-B
27472	27231	27016	ctrl-38x-DS6-10k-PR2-012-A
29776	29516	29286	ctrl-38x-DS6-10k-PR2-012-B
23384	23199	23038	ctrl-38x-DS6-1k-PR2-012-A
17382	17244	17134	ctrl-38x-DS6-1k-PR2-012-B
67280	66806	66380	ctrl-38x-QS5-10k-PR2-012-A
35418	35099	34804	ctrl-38x-QS5-10k-PR2-012-B
6688	6642	6596	ctrl-38x-QS5-1k-PR2-012-A
490	490	490	ctrl-38x-QS5-1k-PR2-012-B
594	0	0	neg-neg-NC10-NC-PR2-011-b
646	0	0	neg-neg-NC11-NC-PR2-011-a
8026	5	2	neg-neg-NC12-NC-PR2-011-b
244	0	0	neg-neg-NC13-NC-PR2-011-a
410	2	0	neg-neg-NC14-NC-PR2-011-b
2554	7	4	neg-neg-NC1-NC-PR2-011-a
134	0	0	neg-neg-NC2-NC-PR2-011-b
3266	6	0	neg-neg-NC3-NC-PR2-011-a
2454	2	2	neg-neg-NC5-NC-PR2-011-a
7702	7	4	neg-neg-NC6-NC-PR2-011-b
1312	1	0	neg-neg-NC7-NC-PR2-011-a
1720	0	0	neg-neg-NC8-NC-PR2-011-b
824	2	2	neg-neg-NC9-NC-PR2-011-a
2060	2	2	neg-neg-NC-NC-PR2-010-a
504	2	0	neg-neg-NC-NC-PR2-010-b
