total	mapped	paired	sample
5070	5007	4976	2017-11-06-3001-PR2-009-B
44842	43908	43374	2017-11-06-3001-PR2-011-a
7156	9	2	2017-11-06-3001-PR2-011-b
23690	15	6	2017-11-06-3055-PR2-010-a
6600	83	80	2017-11-06-3055-PR2-010-b
24338	4172	4144	2017-11-06-3162-PR2-010-a
35632	34493	34148	2017-11-06-3162-PR2-010-b
104	28	28	2017-11-06-3163-PR2-0061-A
167162	165889	165000	2017-11-06-3163-PR2-0061-B
46292	45823	45512	2017-11-06-3164-PR2-0061-A
132036	130933	130094	2017-11-06-3164-PR2-0061-B
22046	21	10	2017-11-06-3514-PR2-010-a
29434	16	6	2017-11-06-3514-PR2-010-b
2486	3	2	2017-11-07-3047-PR2-011-a
32202	20	14	2017-11-07-3047-PR2-011-b
53102	51793	51432	2017-11-07-3284-PR2-008-A
26192	25936	25774	2017-11-07-3284-PR2-008-B
60	60	60	2017-11-07-3285-PR2-0062-B
52152	51563	51222	2017-11-07-3523-PR2-008-A
15250	15093	15022	2017-11-07-3523-PR2-008-B
534	521	520	2017-11-07-3527-PR2-008-A
382	374	370	2017-11-07-3527-PR2-008-B
3494	466	464	2017-11-07-3527-PR2-010-a
3252	336	334	2017-11-07-3527-PR2-010-b
27668	27359	27206	2017-11-08-3336-PR2-008-A
6108	6048	6022	2017-11-08-3336-PR2-008-B
19856	3317	3284	2017-11-08-3336-PR2-010-a
24918	5031	4986	2017-11-08-3336-PR2-010-b
192	30	30	2017-11-08-3529-PR2-008-A
50	28	28	2017-11-08-3529-PR2-008-B
2868	680	670	2017-11-08-3529-PR2-010-a
3520	207	204	2017-11-08-3529-PR2-010-b
36	0	0	2017-11-12-3541-PR2-009-A
638	3	2	2017-11-12-3541-PR2-009-B
47022	46673	46382	2017-11-13-3540-PR2-0071-A
10	6	6	2017-11-13-3540-PR2-0071-B
79850	78997	78432	2017-11-13-3541-PR2-009-A
73838	73186	72668	2017-11-13-3541-PR2-009-B
184	92	92	2017-11-13-3542-PR2-0062-A
202	140	140	2017-11-13-3542-PR2-0062-B
22	2	2	2017-11-13-3546-PR2-0071-A
20	0	0	2017-11-13-3546-PR2-0071-B
44960	44454	44100	2017-11-13-3547-PR2-008-A
26474	26225	26064	2017-11-13-3547-PR2-008-B
138680	137704	136932	2017-11-13-3557-PR2-0061-A
116082	115262	114562	2017-11-13-3557-PR2-0061-B
4750	4624	4592	2017-11-13-3602-PR2-0062-A
6568	6447	6398	2017-11-13-3602-PR2-0062-B
158	85	84	2017-11-13-3604-PR2-0061-A
17526	17271	17154	2017-11-13-3604-PR2-0061-B
11670	11509	11420	2017-11-13-3719-PR2-0061-A
83918	83154	82538	2017-11-13-3719-PR2-0061-B
21566	17	12	2017-11-14-3575-PR2-010-a
25850	18	10	2017-11-14-3575-PR2-010-b
22	0	0	2017-11-14-3577-PR2-009-A
32	2	2	2017-11-14-3577-PR2-009-B
1188	0	0	2017-11-14-3577-PR2-011-a
5128	4	2	2017-11-14-3577-PR2-011-b
5242	5199	5156	2017-11-14-3578-PR2-0062-A
4010	3975	3942	2017-11-14-3578-PR2-0062-B
11710	11593	11498	2017-11-14-3579-PR2-0062-A
8960	8889	8830	2017-11-14-3579-PR2-0062-B
83050	82329	81728	2017-11-14-3580-PR2-009-A
78004	77314	76738	2017-11-14-3580-PR2-009-B
119238	118181	117338	2017-11-14-3595-PR2-009-A
2	0	0	2017-11-14-3595-PR2-009-B
18256	6	0	2017-11-14-3595-PR2-011-a
16900	232	220	2017-11-14-3595-PR2-011-b
61232	60692	60240	2017-11-14-3612-PR2-008-A
49476	49001	48646	2017-11-14-3612-PR2-008-B
1626	1559	1554	2017-11-14-3614-PR2-0061-A
1396	1338	1324	2017-11-14-3614-PR2-0061-B
1714	1671	1660	2017-11-14-3615-PR2-0061-A
2018	1943	1924	2017-11-14-3615-PR2-0061-B
19432	19231	19110	2017-11-14-3616-PR2-0061-A
25154	24879	24746	2017-11-14-3616-PR2-0061-B
3286	3264	3246	2017-11-14-3617-PR2-0062-A
6860	6820	6782	2017-11-14-3617-PR2-0062-B
50002	49562	49216	2017-11-15-3627-PR2-008-A
65308	64745	64320	2017-11-15-3627-PR2-008-B
8448	8360	8316	2017-11-15-3630-PR2-0061-A
25434	24977	24830	2017-11-15-3630-PR2-0061-B
14274	77	70	2017-11-15-3637-PR2-010-a
63070	250	210	2017-11-15-3637-PR2-010-b
22758	22579	22426	2017-11-15-3642-PR2-0072-A
22264	22108	21984	2017-11-15-3642-PR2-0072-B
226370	224759	223412	2017-11-17-3779-PR2-0061-A
206872	205178	203834	2017-11-17-3779-PR2-0061-B
17858	6	6	2017-11-20-3148-PR2-010-a
30872	15	8	2017-11-20-3148-PR2-010-b
16738	10	2	2017-11-20-3150-PR2-010-a
28248	11	4	2017-11-20-3150-PR2-010-b
123508	122532	121702	2017-11-20-3154-PR2-0062-A
90700	89934	89294	2017-11-20-3154-PR2-0062-B
39354	39132	38928	2017-11-20-3190-PR2-0071-A
56180	55871	55582	2017-11-20-3190-PR2-0071-B
562	485	482	2017-11-20-3202-PR2-0062-A
740	668	662	2017-11-20-3202-PR2-0062-B
33028	32808	32622	2017-11-20-3205-PR2-008-A
17690	17570	17468	2017-11-20-3205-PR2-008-B
34	0	0	2017-11-20-3371-PR2-009-A
78	0	0	2017-11-20-3371-PR2-009-B
6132	3	2	2017-11-20-3371-PR2-011-a
15972	10	4	2017-11-20-3371-PR2-011-b
44532	44099	43800	2017-11-20-3649-PR2-008-A
56224	55766	55398	2017-11-20-3649-PR2-008-B
122	32	32	2017-11-20-3659-PR2-0061-A
17920	17774	17696	2017-11-20-3659-PR2-0061-B
81954	81218	80596	2017-11-20-3661-PR2-009-A
16	0	0	2017-11-20-3661-PR2-009-B
172778	169401	167248	2017-11-20-3661-PR2-011-a
826982	807267	796668	2017-11-20-3661-PR2-011-b
132508	131573	130878	2017-11-20-3665-PR2-0061-A
131568	130544	129826	2017-11-20-3665-PR2-0061-B
48724	48369	48058	2017-11-21-3672-PR2-0071-A
37828	37577	37364	2017-11-21-3672-PR2-0071-B
39652	39399	39206	2017-11-21-3673-PR2-008-A
70602	70115	69736	2017-11-21-3673-PR2-008-B
138	133	132	2017-11-21-3677-PR2-0071-A
264	257	256	2017-11-21-3677-PR2-0071-B
3754	0	0	2017-11-21-3684-PR2-010-a
24114	14	2	2017-11-21-3684-PR2-010-b
13610	13524	13460	2017-11-21-3685-PR2-0071-A
49204	48928	48716	2017-11-21-3685-PR2-0071-B
142576	141549	140690	2017-11-22-3708-PR2-0061-A
187194	185939	184928	2017-11-22-3708-PR2-0061-B
69608	69075	68618	2017-11-22-3709-PR2-0071-A
86638	86079	85592	2017-11-22-3709-PR2-0071-B
55062	54699	54418	2017-11-22-3713-PR2-0072-A
77706	77233	76862	2017-11-22-3713-PR2-0072-B
6844	6759	6682	2017-11-22-3714-PR2-0062-A
15976	15875	15786	2017-11-22-3714-PR2-0062-B
36	0	0	2017-11-22-3718-PR2-009-A
364	281	280	2017-11-22-3718-PR2-009-B
4250	0	0	2017-11-22-3718-PR2-010-a
49312	48028	47554	2017-11-22-3718-PR2-010-b
43052	42690	42444	2017-11-22-3719-PR2-008-A
5776	5687	5630	2017-11-22-3719-PR2-008-B
24642	24430	24244	2017-11-22-3720-PR2-0072-A
73040	72624	72238	2017-11-22-3720-PR2-0072-B
54420	54076	53782	2017-11-22-3728-PR2-008-A
57466	57126	56812	2017-11-22-3728-PR2-008-B
32490	16	4	2017-11-27-3745-PR2-010-a
28484	22	8	2017-11-27-3745-PR2-010-b
34180	33922	33702	2017-11-27-3746-PR2-0071-A
29930	29712	29538	2017-11-27-3746-PR2-0071-B
4176	4094	4072	2017-11-27-3747-PR2-0062-A
14792	14601	14518	2017-11-27-3747-PR2-0062-B
110882	110075	109368	2017-11-27-3758-PR2-009-A
244	0	0	2017-11-27-3758-PR2-009-B
41798	40970	40456	2017-11-27-3758-PR2-011-a
43674	42832	42282	2017-11-27-3758-PR2-011-b
5572	5518	5468	2017-11-27-3761-PR2-0062-A
10724	10632	10542	2017-11-27-3761-PR2-0062-B
24780	23941	23754	2017-11-27-3762-PR2-010-a
23958	22	12	2017-11-27-3762-PR2-010-b
49914	49524	49190	2017-11-27-3766-PR2-0071-A
64414	63939	63540	2017-11-27-3766-PR2-0071-B
45086	44707	44376	2017-11-27-3773-PR2-008-A
55156	54779	54460	2017-11-27-3773-PR2-008-B
41550	41204	40928	2017-11-27-3777-PR2-008-A
56894	56454	56108	2017-11-27-3777-PR2-008-B
109036	108073	107370	2017-11-27-3779-PR2-009-A
108	1	0	2017-11-27-3779-PR2-009-B
39456	38797	38428	2017-11-27-3779-PR2-011-a
68242	67092	66396	2017-11-27-3779-PR2-011-b
588	381	376	2017-11-28-3783-PR2-009-A
78410	77941	77522	2017-11-28-3783-PR2-009-B
17742	20	2	2017-11-28-3783-PR2-010-a
16734	13	4	2017-11-28-3783-PR2-010-b
96906	96038	95394	2017-11-28-3785-PR2-009-A
82844	82213	81776	2017-11-28-3785-PR2-009-B
20848	20700	20572	2017-11-28-3786-PR2-0071-A
29778	29600	29456	2017-11-28-3786-PR2-0071-B
69128	68620	68238	2017-11-28-3787-PR2-009-A
156324	155158	154348	2017-11-28-3787-PR2-009-B
67336	66856	66488	2017-11-28-3803-PR2-009-A
84706	83940	83468	2017-11-28-3803-PR2-009-B
480	393	392	2017-11-28-3805-PR2-0062-A
2722	2661	2648	2017-11-28-3805-PR2-0062-B
416	388	388	2017-11-28-3816-PR2-0072-A
4970	4889	4846	2017-11-28-3816-PR2-0072-B
61890	61507	61172	2017-11-28-3818-PR2-0071-A
50324	49950	49642	2017-11-28-3818-PR2-0071-B
44008	43684	43388	2017-11-29-3079-PR2-008-A
64580	64086	63654	2017-11-29-3079-PR2-008-B
49142	48775	48466	2017-11-29-3093-PR2-008-A
48712	48390	48114	2017-11-29-3093-PR2-008-B
57706	57275	56898	2017-11-29-3096-PR2-0071-A
65772	65270	64854	2017-11-29-3096-PR2-0071-B
3206	3129	3104	2017-11-29-3315-PR2-0062-A
2446	2336	2318	2017-11-29-3315-PR2-0062-B
59020	58576	58216	2017-11-29-3364-PR2-0071-A
53948	53579	53256	2017-11-29-3364-PR2-0071-B
132912	132029	131288	2017-11-29-3505-PR2-009-A
54	4	4	2017-11-29-3505-PR2-009-B
3936	2	2	2017-11-29-3505-PR2-011-a
62906	61192	59998	2017-11-29-3505-PR2-011-b
86276	85627	85154	2017-11-29-3510-PR2-009-A
8	0	0	2017-11-29-3510-PR2-009-B
25562	21	4	2017-11-29-3510-PR2-011-a
44124	42957	42164	2017-11-29-3510-PR2-011-b
44820	30599	30394	2017-12-04-3001-PR2-011-a
57500	54451	54030	2017-12-04-3001-PR2-011-b
117356	116578	115908	2017-12-04-3055-PR2-009-A
8	0	0	2017-12-04-3055-PR2-009-B
24798	13	0	2017-12-04-3055-PR2-011-a
42866	42419	42188	2017-12-04-3055-PR2-011-b
56834	56344	55942	2017-12-04-3164-PR2-0071-A
61264	60791	60394	2017-12-04-3164-PR2-0071-B
27216	18	6	2017-12-04-3514-PR2-010-a
23716	19	6	2017-12-04-3514-PR2-010-b
69562	69106	68718	2017-12-05-3284-PR2-0072-A
52532	52159	51852	2017-12-05-3284-PR2-0072-B
1108	839	832	2017-12-05-3285-PR2-0061-A
814	563	556	2017-12-05-3285-PR2-0061-B
18	18	18	2017-12-05-3523-PR2-008-A
14	0	0	2017-12-05-3523-PR2-008-B
3072	4	2	2017-12-05-3523-PR2-010-a
2190	0	0	2017-12-05-3523-PR2-010-b
93086	92432	91934	2017-12-05-3527-PR2-009-A
18256	18135	18024	2017-12-05-3527-PR2-009-B
10	0	0	2017-12-06-3336-PR2-009-A
18192	18061	17974	2017-12-06-3336-PR2-009-B
5260	2	2	2017-12-06-3336-PR2-011-a
4054	1	0	2017-12-06-3336-PR2-011-b
62942	62490	62102	2017-12-11-3540-PR2-0072-A
69838	69370	68960	2017-12-11-3540-PR2-0072-B
15102	7	2	2017-12-11-3541-PR2-010-a
3040	0	0	2017-12-11-3541-PR2-010-b
14536	14424	14340	2017-12-11-3542-PR2-0061-A
