filtered	sample
0	2017-11-13-3546-PR2-0071-B
58	2017-11-13-3546-PR2-18-A
15	2017-11-13-3546-PR2-18-B
22050	2017-11-13-3547-PR2-008-A
13032	2017-11-13-3547-PR2-008-B
68466	2017-11-13-3557-PR2-0061-A
57281	2017-11-13-3557-PR2-0061-B
2296	2017-11-13-3602-PR2-0062-A
3199	2017-11-13-3602-PR2-0062-B
42	2017-11-13-3604-PR2-0061-A
8577	2017-11-13-3604-PR2-0061-B
5710	2017-11-13-3719-PR2-0061-A
41269	2017-11-13-3719-PR2-0061-B
6	2017-11-14-3575-PR2-010-a
5	2017-11-14-3575-PR2-010-b
0	2017-11-14-3577-PR2-009-A
1	2017-11-14-3577-PR2-009-B
0	2017-11-14-3577-PR2-011-a
1	2017-11-14-3577-PR2-011-b
2578	2017-11-14-3578-PR2-0062-A
1971	2017-11-14-3578-PR2-0062-B
5749	2017-11-14-3579-PR2-0062-A
4415	2017-11-14-3579-PR2-0062-B
40864	2017-11-14-3580-PR2-009-A
38369	2017-11-14-3580-PR2-009-B
58669	2017-11-14-3595-PR2-009-A
0	2017-11-14-3595-PR2-009-B
1	2017-11-14-3595-PR2-011-a
110	2017-11-14-3595-PR2-011-b
30120	2017-11-14-3612-PR2-008-A
24323	2017-11-14-3612-PR2-008-B
777	2017-11-14-3614-PR2-0061-A
662	2017-11-14-3614-PR2-0061-B
830	2017-11-14-3615-PR2-0061-A
962	2017-11-14-3615-PR2-0061-B
9555	2017-11-14-3616-PR2-0061-A
12373	2017-11-14-3616-PR2-0061-B
1623	2017-11-14-3617-PR2-0062-A
3391	2017-11-14-3617-PR2-0062-B
24608	2017-11-15-3627-PR2-008-A
32160	2017-11-15-3627-PR2-008-B
4158	2017-11-15-3630-PR2-0061-A
12415	2017-11-15-3630-PR2-0061-B
35	2017-11-15-3637-PR2-010-a
105	2017-11-15-3637-PR2-010-b
11213	2017-11-15-3642-PR2-0072-A
10992	2017-11-15-3642-PR2-0072-B
111706	2017-11-17-3779-PR2-0061-A
101917	2017-11-17-3779-PR2-0061-B
3	2017-11-20-3148-PR2-010-a
4	2017-11-20-3148-PR2-010-b
