s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt	R1_fracChiExcluded	R2_fracChiExcluded
2017-11-14-3575	pfama1.13	25	0.0598086	2270(82.5%)	2	1	0.123603	312	2	0.0181208	0.00714286
2017-11-14-3578	pfama1.23	11	0.0263158	4085(95%)	8	0	0.333051	1353	2	0.0132231	0.0197018
2017-11-14-3578	pfama1.15	22	0.0526316	4085(95%)	8	1	0.207312	860	2	0.0132231	0.0197018
2017-11-14-3578	pfama1.11	27	0.0645933	4085(95%)	8	2	0.194195	792	2	0.0132231	0.0197018
2017-11-14-3578	pfama1.39	5	0.0119617	4085(95%)	8	3	0.111234	447	2	0.0132231	0.0197018
2017-11-14-3578	pfama1.25	10	0.0239234	4085(95%)	8	4	0.0734769	299	2	0.0132231	0.0197018
2017-11-14-3578	pfama1.16	22	0.0526316	4085(95%)	8	5	0.0496077	205	2	0.0132231	0.0197018
2017-11-14-3578	pfama1.14	23	0.0550239	4085(95%)	8	6	0.0198343	81	2	0.0132231	0.0197018
2017-11-14-3578	pfama1.07	32	0.076555	4085(95%)	8	7	0.01129	48	2	0.0132231	0.0197018
2017-11-14-3579	pfama1.36	5	0.0119617	9483(97.6%)	1	0	1	9483	2	0	0
2017-11-14-3580	pfama1.07	32	0.076555	68427(90.9%)	1	0	1	68427	2	0.00195232	0.00236765
2017-11-14-3612	pfama1.11	27	0.0645933	35011(68.2%)	2	0	0.540346	18928	2	0.212418	0.056542
2017-11-14-3612	pfama1.01	58	0.138756	35011(68.2%)	2	1	0.459654	16083	2	0.212418	0.056542
2017-11-14-3614	pfama1.03	47	0.11244	1274(93.4%)	1	0	1	1274	2	0	0
2017-11-14-3615	pfama1.08	31	0.0741627	1622(94.9%)	1	0	1	1622	2	0	0
2017-11-14-3616	pfama1.03	47	0.11244	20768(99.2%)	1	0	1	20768	2	0	0
2017-11-14-3617	pfama1.07	32	0.076555	4651(97.1%)	1	0	1	4651	2	0.00194175	0.000616713
2017-11-15-3627	pfama1.06	33	0.0789474	49857(93%)	1	0	1	49857	2	0.00344842	0.000657073
2017-11-15-3630	pfama1.09	30	0.0717703	15791(99.1%)	1	0	1	15791	2	0	0.000167729
