date	cid	sampleName
19122017	3681	19122017-3681-PR2-009
19122017	3681	19122017-3681-PR2-009
19122017	3685	19122017-3685-PR2-006-1
19122017	3685	19122017-3685-PR2-006-1
20022018	3785	20022018-3785-PR2-009
20022018	3785	20022018-3785-PR2-009
20022018	3786	20022018-3786-PR2-007-1
20022018	3786	20022018-3786-PR2-007-1
20022018	3787	20022018-3787-PR2-008-1
20022018	3787	20022018-3787-PR2-008-1
20022018	3805	20022018-3805-PR2-008-1
20022018	3805	20022018-3805-PR2-008-1
20032018	3786	20032018-3786-PR2-006-1
20032018	3786	20032018-3786-PR2-006-1
20032018	3805	20032018-3805-PR2-008-1
20032018	3805	20032018-3805-PR2-008-1
20032018	3816	20032018-3816-PR2-007-2
20032018	3816	20032018-3816-PR2-007-2
20032018	3818	20032018-3818-PR2-008-1
20032018	3818	20032018-3818-PR2-008-1
20112017	3154	20112017-3154-PR2-006-2
20112017	3154	20112017-3154-PR2-006-2
20112017	3190	20112017-3190-PR2-007-1
20112017	3190	20112017-3190-PR2-007-1
20112017	3202	20112017-3202-PR2-006-2
20112017	3202	20112017-3202-PR2-006-2
20112017	3205	20112017-3205-PR2-008-1
20112017	3205	20112017-3205-PR2-008-1
20112017	3371	20112017-3371-PR2-009
20112017	3371	20112017-3371-PR2-009
20112017	3649	20112017-3649-PR2-008-1
20112017	3649	20112017-3649-PR2-008-1
20112017	3659	20112017-3659-PR2-006-1
20112017	3659	20112017-3659-PR2-006-1
20112017	3661	20112017-3661-PR2-009
20112017	3661	20112017-3661-PR2-009
20112017	3665	20112017-3665-PR2-006-1
20112017	3665	20112017-3665-PR2-006-1
20122017	3708	20122017-3708-PR2-006-1
20122017	3708	20122017-3708-PR2-006-1
20122017	3709	20122017-3709-PR2-006-2
20122017	3709	20122017-3709-PR2-006-2
20122017	3713	20122017-3713-PR2-008-1
20122017	3713	20122017-3713-PR2-008-1
20122017	3714	20122017-3714-PR2-007-1
20122017	3714	20122017-3714-PR2-007-1
20122017	3720	20122017-3720-PR2-008-1
20122017	3720	20122017-3720-PR2-008-1
20122017	3728	20122017-3728-PR2-008-1
20122017	3728	20122017-3728-PR2-008-1
21022018	3079	21022018-3079-PR2-009
21022018	3079	21022018-3079-PR2-009
21022018	3093	21022018-3093-PR2-009
21022018	3093	21022018-3093-PR2-009
21022018	3095	21022018-3095-PR2-007-1
21022018	3095	21022018-3095-PR2-007-1
21022018	3096	21022018-3096-PR2-008-1
21022018	3096	21022018-3096-PR2-008-1
21022018	3315	21022018-3315-PR2-007-2
21022018	3315	21022018-3315-PR2-007-2
21022018	3364	21022018-3364-PR2-007-2
21022018	3364	21022018-3364-PR2-007-2
21022018	3510	21022018-3510-PR2-009
21022018	3510	21022018-3510-PR2-009
21022018	3816	21022018-3816-PR2-007-1
21022018	3816	21022018-3816-PR2-007-1
21022018	3818	21022018-3818-PR2-007-2
21022018	3818	21022018-3818-PR2-007-2
21032018	3095	21032018-3095-PR2-008-1
21032018	3095	21032018-3095-PR2-008-1
21032018	3096	21032018-3096-PR2-007-1
21032018	3096	21032018-3096-PR2-007-1
21032018	3313	21032018-3313-PR2-009
21032018	3313	21032018-3313-PR2-009
21032018	3315	21032018-3315-PR2-006-1
21032018	3315	21032018-3315-PR2-006-1
21032018	3364	21032018-3364-PR2-007-1
21032018	3364	21032018-3364-PR2-007-1
21032018	3505	21032018-3505-PR2-009
21032018	3505	21032018-3505-PR2-009
21032018	3510	21032018-3510-PR2-008-1
21032018	3510	21032018-3510-PR2-008-1
21112017	3672	21112017-3672-PR2-007-1
21112017	3672	21112017-3672-PR2-007-1
21112017	3673	21112017-3673-PR2-008-1
21112017	3673	21112017-3673-PR2-008-1
21112017	3677	21112017-3677-PR2-007-1
21112017	3677	21112017-3677-PR2-007-1
21112017	3685	21112017-3685-PR2-007-1
21112017	3685	21112017-3685-PR2-007-1
22012018	3746	22012018-3746-PR2-008-1
22012018	3746	22012018-3746-PR2-008-1
22012018	3747	22012018-3747-PR2-009
22012018	3747	22012018-3747-PR2-009
22012018	3761	22012018-3761-PR2-007-2
22012018	3761	22012018-3761-PR2-007-2
22012018	3762	22012018-3762-PR2-009
22012018	3762	22012018-3762-PR2-009
22012018	3766	22012018-3766-PR2-008-1
22012018	3766	22012018-3766-PR2-008-1
22012018	3777	22012018-3777-PR2-007-2
22012018	3777	22012018-3777-PR2-007-2
22112017	3708	22112017-3708-PR2-006-1
22112017	3708	22112017-3708-PR2-006-1
22112017	3709	22112017-3709-PR2-007-1
22112017	3709	22112017-3709-PR2-007-1
22112017	3713	22112017-3713-PR2-007-2
22112017	3713	22112017-3713-PR2-007-2
22112017	3714	22112017-3714-PR2-006-2
22112017	3714	22112017-3714-PR2-006-2
22112017	3718	22112017-3718-PR2-009
22112017	3718	22112017-3718-PR2-009
22112017	3719	22112017-3719-PR2-008-1
22112017	3719	22112017-3719-PR2-008-1
22112017	3720	22112017-3720-PR2-007-2
22112017	3720	22112017-3720-PR2-007-2
22112017	3728	22112017-3728-PR2-008-1
22112017	3728	22112017-3728-PR2-008-1
23012018	3805	23012018-3805-PR2-009
23012018	3805	23012018-3805-PR2-009
23012018	3815	23012018-3815-PR2-008-1
23012018	3815	23012018-3815-PR2-008-1
23012018	3816	23012018-3816-PR2-008-1
23012018	3816	23012018-3816-PR2-008-1
23012018	3818	23012018-3818-PR2-008-1
23012018	3818	23012018-3818-PR2-008-1
23102017	3122	23102017-3122-PR2-008-1
23102017	3122	23102017-3122-PR2-008-1
23102017	3154	23102017-3154-PR2-006-2
23102017	3154	23102017-3154-PR2-006-2
23102017	3190	23102017-3190-PR2-008-1
23102017	3190	23102017-3190-PR2-008-1
23102017	3202	23102017-3202-PR2-008-1
23102017	3202	23102017-3202-PR2-008-1
23102017	3205	23102017-3205-PR2-007-1
23102017	3205	23102017-3205-PR2-007-1
23102017	3659	23102017-3659-PR2-009
23102017	3659	23102017-3659-PR2-009
23102017	3665	23102017-3665-PR2-007-2
23102017	3665	23102017-3665-PR2-007-2
24012018	3079	24012018-3079-PR2-008-1
24012018	3079	24012018-3079-PR2-008-1
24012018	3095	24012018-3095-PR2-007-2
24012018	3095	24012018-3095-PR2-007-2
24012018	3096	24012018-3096-PR2-007-2
24012018	3096	24012018-3096-PR2-007-2
24012018	3315	24012018-3315-PR2-008-1
24012018	3315	24012018-3315-PR2-008-1
24012018	3364	24012018-3364-PR2-008-1
24012018	3364	24012018-3364-PR2-008-1
24012018	3505	24012018-3505-PR2-007-2
24012018	3505	24012018-3505-PR2-007-2
24012018	3510	24012018-3510-PR2-008-1
24012018	3510	24012018-3510-PR2-008-1
24012018	3785	24012018-3785-PR2-008-1
24012018	3785	24012018-3785-PR2-008-1
24012018	3786	24012018-3786-PR2-007-1
24012018	3786	24012018-3786-PR2-007-1
24012018	3787	24012018-3787-PR2-008-1
24012018	3787	24012018-3787-PR2-008-1
24102017	3672	24102017-3672-PR2-007-1
24102017	3672	24102017-3672-PR2-007-1
24102017	3673	24102017-3673-PR2-008-1
24102017	3673	24102017-3673-PR2-008-1
24102017	3677	24102017-3677-PR2-007-1
24102017	3677	24102017-3677-PR2-007-1
24102017	3684	24102017-3684-PR2-009
24102017	3684	24102017-3684-PR2-009
24102017	3685	24102017-3685-PR2-006-2
24102017	3685	24102017-3685-PR2-006-2
25102017	3708	25102017-3708-PR2-006-2
25102017	3708	25102017-3708-PR2-006-2
25102017	3709	25102017-3709-PR2-006-2
25102017	3709	25102017-3709-PR2-006-2
25102017	3713	25102017-3713-PR2-008-1
25102017	3713	25102017-3713-PR2-008-1
25102017	3714	25102017-3714-PR2-006-2
25102017	3714	25102017-3714-PR2-006-2
25102017	3718	25102017-3718-PR2-009
25102017	3718	25102017-3718-PR2-009
25102017	3719	25102017-3719-PR2-006-1
25102017	3719	25102017-3719-PR2-006-1
25102017	3720	25102017-3720-PR2-006-2
25102017	3720	25102017-3720-PR2-006-2
25102017	3728	25102017-3728-PR2-008-1
25102017	3728	25102017-3728-PR2-008-1
26012018	3154	26012018-3154-PR2-006-1
26012018	3154	26012018-3154-PR2-006-1
26022018	3164	26022018-3164-PR2-007-2
26022018	3164	26022018-3164-PR2-007-2
26032018	3164	26032018-3164-PR2-007-2
26032018	3164	26032018-3164-PR2-007-2
27022018	3285	27022018-3285-PR2-006-1
27022018	3285	27022018-3285-PR2-006-1
27022018	3523	27022018-3523-PR2-009
27022018	3523	27022018-3523-PR2-009
27022018	3525	27022018-3525-PR2-009
27022018	3525	27022018-3525-PR2-009
27032018	3285	27032018-3285-PR2-007-1
27032018	3285	27032018-3285-PR2-007-1
27032018	3523	27032018-3523-PR2-009
27032018	3523	27032018-3523-PR2-009
27112017	3746	27112017-3746-PR2-007-1
27112017	3746	27112017-3746-PR2-007-1
27112017	3747	27112017-3747-PR2-006-2
27112017	3747	27112017-3747-PR2-006-2
27112017	3758	27112017-3758-PR2-009
27112017	3758	27112017-3758-PR2-009
27112017	3761	27112017-3761-PR2-006-2
27112017	3761	27112017-3761-PR2-006-2
27112017	3766	27112017-3766-PR2-007-1
27112017	3766	27112017-3766-PR2-007-1
27112017	3773	27112017-3773-PR2-008-1
