s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-03-05-3542	pfama1.010	49	0.0667575	69517(97.3%)	6	4	0.0109381	770	2
2018-03-05-3542	pfama1.030	10	0.013624	69517(97.3%)	6	5	0.00586121	409	2
2018-03-06-3577	pfama1.000	125	0.1703	48158(93.8%)	1	0	1	48158	2
2018-03-06-3578	pfama1.009	50	0.0681199	40295(74.1%)	8	0	0.339364	13769	2
2018-03-06-3578	pfama1.029	11	0.0149864	40295(74.1%)	8	1	0.315058	12344	2
2018-03-06-3578	pfama1.013	39	0.0531335	40295(74.1%)	8	2	0.155517	6453	2
2018-03-06-3578	pfama1.016	24	0.0326975	40295(74.1%)	8	3	0.0579864	2254	2
2018-03-06-3578	pfama1.011	47	0.0640327	40295(74.1%)	8	4	0.0430415	1784	2
2018-03-06-3578	pfama1.008	50	0.0681199	40295(74.1%)	8	5	0.0414387	1722	2
2018-03-06-3578	pfama1.021	21	0.0286104	40295(74.1%)	8	6	0.029138	1219	2
2018-03-06-3578	pfama1.003	71	0.0967302	40295(74.1%)	8	7	0.0184558	750	2
2018-03-06-3595	pfama1.002	95	0.129428	76918(89.5%)	1	0	1	76918	2
2018-03-07-3642	pfama1.002	95	0.129428	507(88.6%)	1	0	1	507	2
2018-03-12-3190	pfama1.001	107	0.145777	68960(85.7%)	1	0	1	68960	2
2018-03-12-3202	pfama1.019	22	0.0299728	564(85.8%)	1	0	1	564	4
2018-03-12-3659	pfama1.013	39	0.0531335	42164(81.1%)	1	0	1	42164	2
2018-03-14-3709	pfama1.012	40	0.0544959	22060(89.4%)	3	0	0.986265	21757	1
2018-03-14-3709	pfama1.196	1	0.0013624	22060(89.4%)	3	1	0.00743427	164	1
2018-03-14-3709	pfama1.240	1	0.0013624	22060(89.4%)	3	2	0.006301	139	1
2018-03-14-3714	pfama1.006	54	0.0735695	54600(84.7%)	1	0	1	54600	2
2018-03-14-3728	pfama1.074	1	0.0013624	980(88.8%)	6	0	0.547959	537	1
2018-03-14-3728	pfama1.000	125	0.1703	980(88.8%)	6	1	0.387755	380	1
2018-03-14-3728	pfama1.028	11	0.0149864	980(88.8%)	6	2	0.0418367	41	1
