s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-05-28-3614	pfama1.02	124	1.0	57349(84.8%)	1	0	1.0	52762	2
2018-05-28-3616	pfama1.02	124	1.0	52945(88.4%)	1	0	1.0	52945	2
2018-05-29-3575	pfama1.00	148	1.0	18096(82.9%)	1	0	1.0	18096	2
2018-05-29-3577	pfama1.00	148	1.0	32168(83.9%)	1	0	1.0	32168	1
2018-05-29-3578	pfama1.05	71	0.12412593175556033	14164(69.8%)	9	0	0.30690490792852765	4347	1
2018-05-29-3578	pfama1.03	85	0.15209795543886748	14164(69.8%)	9	1	0.21152193654341903	2996	1
2018-05-29-3578	pfama1.00	148	0.2604890872463732	14164(69.8%)	9	2	0.1412029576391127	2000	1
2018-05-29-3578	pfama1.12	54	0.09440557993116161	14164(69.8%)	9	3	0.11592796522161045	1642	1
2018-05-29-3578	pfama1.08	64	0.11188824805499838	14164(69.8%)	9	4	0.07427277771816669	1052	1
2018-05-29-3578	pfama1.22	24	0.04195803552496071	14164(69.8%)	9	5	0.045820386253884134	649	1
2018-05-29-3578	pfama1.19	30	0.05244754440620089	14164(69.8%)	9	6	0.045537986338604106	645	1
2018-05-29-3578	pfama1.09	62	0.10839174509458498	14164(69.8%)	9	7	0.04483198655040403	635	1
2018-05-29-3578	pfama1.16	31	0.05419587254729249	14164(69.8%)	9	8	0.013979095806271259	198	1
2018-05-29-3580	pfama1.07	64	1.0	30987(85.3%)	1	0	1.0	30987	1
2018-05-29-3602	pfama1.22	24	0.13872849951587476	70828(89.1%)	2	0	0.9906364457864006	70156	2
2018-05-29-3602	pfama1.00	148	0.8612715004841253	70828(89.1%)	2	1	0.009363554213599395	672	2
2018-05-29-3604	pfama1.09	62	0.06790807536824653	26051(62.8%)	13	0	0.30696288949335976	7979	2
2018-05-29-3604	pfama1.21	28	0.030668119688948205	26051(62.8%)	13	1	0.1984569285555057	5141	2
2018-05-29-3604	pfama1.30	15	0.016429397861867145	26051(62.8%)	13	2	0.10051396381497302	2614	2
2018-05-29-3604	pfama1.01	136	0.148959438489177	26051(62.8%)	13	3	0.07982107126441434	2099	2
2018-05-29-3604	pfama1.06	67	0.07338447728419953	26051(62.8%)	13	4	0.06300797731712818	1665	2
2018-05-29-3604	pfama1.10	62	0.06790807536824653	26051(62.8%)	13	5	0.057743079212491485	1488	2
2018-05-29-3604	pfama1.02	124	0.13581595862248494	26051(62.8%)	13	6	0.05536738006774317	1440	2
2018-05-29-3604	pfama1.00	148	0.16319796820224994	26051(62.8%)	13	7	0.04734448295598613	1242	2
2018-05-29-3604	pfama1.03	85	0.09529027706201969	26051(62.8%)	13	8	0.04262928465345753	1123	2
2018-05-29-3604	pfama1.12	54	0.0591456594001144	26051(62.8%)	13	9	0.021480492267022783	569	2
2018-05-29-3604	pfama1.13	49	0.0536692574841614	26051(62.8%)	13	10	0.014487594784465877	375	2
2018-05-29-3604	pfama1.35	9	0.009857657928521099	26051(62.8%)	13	11	0.008061157097983444	204	2
2018-05-29-3604	pfama1.05	71	0.07776563723976355	26051(62.8%)	13	12	0.004123698515468534	112	2
2018-05-30-3642	pfama1.02	124	1.0	56802(84.7%)	1	0	1.0	56802	2
2018-06-03-3604	pfama1.26	16	1.0	487(90%)	1	0	1.0	487	2
2018-06-04-3122	pfama1.03	85	0.7372879592358507	34519(61.5%)	2	0	0.644458	22791	2
2018-06-04-3122	pfama1.16	31	0.26271204076414945	34519(61.5%)	2	1	0.355542	11728	2
2018-06-04-3190	pfama1.01	136	1.0	58545(87.2%)	1	0	1.0	58545	2
2018-06-04-3205	pfama1.00	148	0.8010748454756389	39823(70.4%)	3	0	0.611764	24331	2
2018-06-04-3205	pfama1.23	22	0.11827968143156818	39823(70.4%)	3	1	0.20805699999999996	8346	2
2018-06-04-3205	pfama1.29	15	0.08064547309279288	39823(70.4%)	3	2	0.18017899999999998	7146	2
2018-06-04-3659	pfama1.31	14	0.19718297681014058	43973(78.1%)	2	0	0.635363	28053	2
2018-06-04-3659	pfama1.11	57	0.8028170231898595	43973(78.1%)	2	1	0.364637	15920	2
2018-06-05-3672	pfama1.04	80	1.0	51304(86.7%)	1	0	1.0	51304	2
2018-06-05-3685	pfama1.03	85	0.8446602603073078	55847(87.9%)	2	0	0.9101019089898091	51763	2
2018-06-05-3685	pfama1.26	16	0.1553397396926923	55847(87.9%)	2	1	0.0898980910101909	4084	2
2018-06-06-3708	pfama1.03	85	1.0	45462(85.8%)	1	0	1.0	45462	2
2018-06-06-3713	pfama1.19	30	1.0	27332(83.3%)	1	0	1.0	27332	1
2018-06-06-3714	pfama1.08	64	1.0	41356(76.1%)	1	0	1.0	41356	2
2018-06-06-3728	pfama1.06	67	1.0	57845(83.8%)	1	0	1.0	57845	2
2018-06-07-3782	pfama1.12	54	0.15428563696651137	31117(90.8%)	5	0	0.7993651119111158	24880	2
2018-06-07-3782	pfama1.09	62	0.17714301894044843	31117(90.8%)	5	1	0.15433302160662304	4801	2
2018-06-07-3782	pfama1.02	124	0.3542855367379151	31117(90.8%)	5	2	0.024761103466554486	780	2
2018-06-07-3782	pfama1.04	80	0.23428584744656378	31117(90.8%)	5	3	0.013104701834658259	422	2
2018-06-07-3782	pfama1.21	28	0.07999995990856144	31117(90.8%)	5	4	0.008436061181048567	234	2
2018-06-11-3746	pfama1.02	124	1.0	54366(84.6%)	1	0	1.0	54366	2
2018-06-11-3747	pfama1.01	136	1.0	65650(92%)	1	0	1.0	65650	2
2018-06-11-3766	pfama1.04	80	1.0	42655(90.1%)	1	0	1.0	42655	2
2018-06-11-3777	pfama1.17	30	1.0	43831(78.9%)	1	0	1.0	43831	2
2018-06-11-3782	pfama1.12	54	0.4655168894322257	49218(89.2%)	2	0	0.753975	36438	2
2018-06-11-3782	pfama1.09	62	0.5344831105677743	49218(89.2%)	2	1	0.246025	12780	2
2018-06-12-3785	pfama1.00	148	0.908536220165903	37901(88.4%)	2	0	0.9302323720929488	35264	2
2018-06-12-3785	pfama1.28	15	0.09146377983409697	37901(88.4%)	2	1	0.06976762790705117	2637	2
2018-06-12-3786	pfama1.03	85	0.24099726356459586	36026(80.8%)	4	0	0.42827287151813853	15401	2
2018-06-12-3786	pfama1.01	136	0.3767311646564491	36026(80.8%)	4	1	0.2765879170236249	9887	2
