s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2018-01-30-3523	pfama1.005	67	0.0890957	48505(90.3%)	1	0	1	48505	2
2018-01-30-3525	pfama1.015	37	0.0492021	98910(91.1%)	1	0	1	98910	2
2018-01-30-3677	pfama1.001	107	0.142287	42177(79%)	4	0	0.53568	22588	2
2018-01-30-3677	pfama1.024	18	0.0239362	42177(79%)	4	1	0.299526	12628	2
2018-01-30-3677	pfama1.002	93	0.12367	42177(79%)	4	2	0.110061	4625	2
2018-01-30-3677	pfama1.008	50	0.0664894	42177(79%)	4	3	0.0547332	2336	2
2018-02-05-3540	pfama1.011	49	0.0651596	42969(50%)	1	0	1	42969	2
2018-02-05-3541	pfama1.009	50	0.0664894	86903(88.3%)	1	0	1	86903	2
2018-02-05-3542	pfama1.001	107	0.142287	54027(98.3%)	4	0	0.913678	49374	2
2018-02-05-3542	pfama1.027	17	0.0226064	54027(98.3%)	4	1	0.0494217	2662	2
2018-02-05-3542	pfama1.005	67	0.0890957	54027(98.3%)	4	2	0.0224596	1208	2
2018-02-05-3542	pfama1.011	49	0.0651596	54027(98.3%)	4	3	0.0144409	783	2
2018-02-06-3546	pfama1.008	50	0.0664894	130331(85.2%)	10	0	0.828805	108019	1
2018-02-06-3546	pfama1.088	1	0.00132979	130331(85.2%)	10	1	0.0581443	7578	1
2018-02-06-3546	pfama1.094	1	0.00132979	130331(85.2%)	10	2	0.0415404	5414	1
2018-02-06-3546	pfama1.120	1	0.00132979	130331(85.2%)	10	3	0.0164427	2143	1
2018-02-06-3546	pfama1.125	1	0.00132979	130331(85.2%)	10	4	0.0148084	1930	1
2018-02-06-3546	pfama1.129	1	0.00132979	130331(85.2%)	10	5	0.0142253	1854	1
2018-02-06-3546	pfama1.196	1	0.00132979	130331(85.2%)	10	6	0.00750397	978	1
2018-02-06-3546	pfama1.238	1	0.00132979	130331(85.2%)	10	7	0.00656789	856	1
2018-02-06-3546	pfama1.066	2	0.00265957	130331(85.2%)	10	8	0.00617658	805	1
2018-02-06-3546	pfama1.264	1	0.00132979	130331(85.2%)	10	9	0.00578527	754	1
